customerID,gender,age,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,DataUsage,VoiceCalls,SMSCount,AverageChargesPerMonth
28,Female,22,0,Yes,No,71,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,42.1,2989.1,Yes,10.2,2167,271,42.1
29,Female,72,1,Yes,No,33,No,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Electronic check,47.26,1559.58,Yes,46,1672,178,47.26
30,Female,73,1,No,No,24,No,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,112.52,2700.48,No,45.7,1830,282,112.52
31,Male,50,0,Yes,No,61,No,Yes,No,Yes,Yes,No,No,No internet service,No,Two year,No,Credit card,101.23,6175.03,Yes,49.5,2436,50,101.23
32,Male,71,1,No,No,61,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,88.38,5391.18,Yes,43.7,1560,74,88.38
33,Female,18,0,Yes,No,28,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer,26.51,742.28,No,49.9,1847,143,26.51
34,Female,35,0,No,No,58,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,60.29,3496.82,No,12.2,2281,342,60.29
35,Female,49,0,No,Yes,43,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer,74.46,3201.78,No,42.1,1656,187,74.46
36,Male,64,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card,37.08,1520.28,Yes,41.2,601,122,37.08
37,Female,66,1,No,No,39,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,63.3,2468.7,No,11.5,1343,331,63.3
38,Male,28,0,Yes,No,49,No,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.65,3853.85,Yes,4.9,711,250,78.65
39,Male,38,0,Yes,Yes,17,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,51.15,869.55,No,49,981,295,51.15
40,Male,43,0,Yes,No,70,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,96.73,6771.1,Yes,14.8,1203,322,96.73
41,Male,42,0,No,Yes,70,No,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,One year,No,Mailed check,102.72,7190.4,Yes,43.5,2904,129,102.72
42,Male,39,0,No,Yes,65,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,No,Bank transfer,50.77,3300.05,No,0.2,1391,251,50.77
43,Female,76,1,Yes,Yes,5,No,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,102.54,512.7,Yes,1.1,2123,357,102.54
44,Female,44,0,Yes,No,2,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,28.66,57.32,Yes,23.3,2696,431,28.66
45,Female,66,1,No,No,22,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,102.44,2253.68,No,11.9,2697,179,102.44
46,Female,30,0,Yes,Yes,57,Yes,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card,33.6,1915.2,Yes,34.5,2543,407,33.6
47,Female,50,0,Yes,Yes,66,No,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,26.58,1754.28,Yes,28.3,829,348,26.58
48,Male,51,0,No,Yes,16,No,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,82.75,1324,Yes,3.9,2530,494,82.75
49,Female,58,0,Yes,Yes,51,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,No,Credit card,65.68,3349.68,No,8.1,2666,109,65.68
50,Female,52,0,No,Yes,39,No,No phone service,No,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,109.49,4270.11,No,19.4,549,481,109.49
51,Male,18,0,Yes,No,40,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card,54.75,2190,No,9.3,645,467,54.75
52,Female,38,0,No,Yes,38,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer,47.11,1790.18,No,39.6,1244,337,47.11
53,Male,65,1,Yes,No,60,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.57,4114.2,No,20.8,2549,77,68.57
54,Female,72,1,Yes,Yes,59,Yes,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Credit card,64.07,3780.13,No,4.7,845,465,64.07
55,Male,23,0,No,No,10,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,Yes,Mailed check,52.87,528.7,No,24.2,2100,1,52.87
56,Female,45,0,Yes,No,64,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card,87.97,5630.08,No,4.5,449,320,87.97
57,Female,34,0,No,No,63,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,94.59,5959.17,Yes,6.4,2109,275,94.59
58,Male,22,0,Yes,No,49,Yes,Yes,No,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,103.97,5094.53,Yes,12,43,289,103.97
59,Male,48,0,No,No,64,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,116.02,7425.28,Yes,43,2867,296,116.02
60,Male,22,0,No,No,32,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,45.05,1441.6,Yes,46.2,1581,168,45.05
61,Male,55,0,No,Yes,7,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.22,631.54,No,41.3,658,239,90.22
62,Male,20,0,No,No,21,No,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,Yes,Mailed check,57.87,1215.27,Yes,16.7,727,458,57.87
63,Male,70,1,Yes,Yes,20,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,86.3,1726,Yes,13.6,2899,474,86.3
64,Male,40,0,Yes,No,26,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,No,Credit card,66.09,1718.34,Yes,27.5,2094,22,66.09
65,Male,54,0,No,No,68,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,118.12,8032.16,Yes,36.1,2867,293,118.12
66,Female,70,1,No,Yes,15,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card,91.5,1372.5,Yes,49.7,1047,171,91.5
67,Female,54,0,No,No,14,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,No,Bank transfer,113.98,1595.72,No,6.6,1680,322,113.98
68,Male,27,0,Yes,Yes,27,No,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,102.16,2758.32,No,2.5,2136,317,102.16
69,Female,27,0,Yes,Yes,40,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Mailed check,108.99,4359.6,Yes,34.7,1197,395,108.99
70,Female,36,0,Yes,Yes,58,No,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card,100.1,5805.8,Yes,41.6,1142,285,100.1
71,Female,34,0,Yes,Yes,28,No,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,Yes,Credit card,64.4,1803.2,Yes,42.3,2782,478,64.4
72,Female,38,0,No,No,26,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,43.55,1132.3,Yes,33.9,1691,342,43.55
73,Male,31,0,No,No,63,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,55.47,3494.61,No,47.7,2225,192,55.47
74,Female,26,0,No,Yes,66,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,20.28,1338.48,Yes,25.6,1855,168,20.28
75,Male,63,0,Yes,No,25,No,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card,70.91,1772.75,No,45.7,1947,403,70.91
76,Female,18,0,Yes,No,3,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,69.01,207.03,Yes,48.4,1365,117,69.01
77,Female,68,1,Yes,Yes,72,No,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,Yes,Electronic check,71.04,5114.88,No,42.4,2948,5,71.04
78,Female,62,0,No,No,44,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,116.14,5110.16,No,15.5,437,330,116.14
79,Male,30,0,No,Yes,42,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Mailed check,109.85,4613.7,No,9.8,1451,482,109.85
80,Female,21,0,Yes,Yes,6,Yes,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer,34.5,207,Yes,27.4,425,131,34.5
81,Male,79,1,No,No,39,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,Yes,Bank transfer,55.32,2157.48,Yes,22.7,967,92,55.32
82,Female,18,0,Yes,No,52,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,No,Credit card,60.86,3164.72,No,43.9,1404,250,60.86
83,Male,66,1,Yes,No,23,No,Yes,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Credit card,54.48,1253.04,Yes,5,485,9,54.48
84,Female,57,0,No,Yes,50,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,98.5,4925,Yes,12.9,1755,50,98.5
85,Male,49,0,Yes,Yes,43,No,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer,70.92,3049.56,No,37.6,2507,348,70.92
86,Male,51,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,No,Electronic check,75.75,1439.25,Yes,4.7,2968,293,75.75
87,Female,45,0,Yes,No,69,Yes,No,No,Yes,No internet service,No,No,No internet service,No,Two year,No,Electronic check,103.98,7174.62,No,16,1579,128,103.98
88,Male,48,0,No,No,51,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,99.25,5061.75,Yes,19.4,2795,487,99.25
89,Female,25,0,No,No,11,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,No,Bank transfer,31.54,346.94,Yes,31.1,1896,391,31.54
90,Female,56,0,No,Yes,12,No,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card,90,1080,No,7.9,50,248,90
91,Female,43,0,Yes,No,8,No,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Credit card,62.01,496.08,No,43,2356,101,62.01
92,Female,75,1,Yes,Yes,24,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Electronic check,47.86,1148.64,No,22.4,1057,336,47.86
93,Female,51,0,No,Yes,41,No,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,23.28,954.48,No,45.9,1659,82,23.28
94,Female,71,1,No,No,36,Yes,No,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Bank transfer,67.22,2419.92,Yes,23.4,1612,190,67.22
95,Female,71,1,Yes,No,72,No,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,53.97,3885.84,Yes,13.8,1927,416,53.97
96,Female,20,0,Yes,No,55,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,43.53,2394.15,Yes,7.1,2682,142,43.53
97,Female,76,1,Yes,Yes,9,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer,88.06,792.54,No,0.2,204,236,88.06
98,Female,67,1,No,No,47,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,No,Credit card,95.58,4492.26,Yes,26.6,2787,286,95.58
99,Female,29,0,Yes,No,15,No,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,42.85,642.75,Yes,5.4,1093,276,42.85
100,Male,18,0,Yes,Yes,48,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer,23.22,1114.56,Yes,19.6,532,386,23.22
101,Male,71,1,No,No,42,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer,103.55,4349.1,No,29.5,2155,381,103.55
102,Female,61,0,Yes,Yes,60,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,19.25,1155,No,13.8,2923,449,19.25
103,Female,22,0,Yes,No,70,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,112.43,7870.1,Yes,8.8,1264,290,112.43
104,Female,47,0,Yes,Yes,12,No,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,81.33,975.96,Yes,38.7,250,168,81.33
105,Female,47,0,No,No,2,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Electronic check,50.6,101.2,No,47.3,134,442,50.6
106,Female,76,1,No,No,7,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Credit card,43.02,301.14,No,5,1614,143,43.02
107,Female,74,1,No,Yes,3,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer,19.16,57.48,No,7.8,2736,183,19.16
108,Female,34,0,No,Yes,3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Two year,No,Credit card,41.91,125.73,No,48,406,44,41.91
109,Female,65,1,No,No,27,Yes,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,32.09,866.43,Yes,1.9,101,242,32.09
110,Male,64,0,No,Yes,40,Yes,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Mailed check,79.77,3190.8,No,48.9,1384,314,79.77
111,Female,40,0,No,Yes,33,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Electronic check,34.99,1154.67,Yes,0.2,2740,433,34.99
112,Male,32,0,Yes,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Credit card,71.38,71.38,No,43.7,1551,468,71.38
113,Female,54,0,Yes,Yes,8,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,One year,No,Electronic check,77.56,620.48,Yes,15.4,1631,267,77.56
114,Female,38,0,No,No,32,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card,48.2,1542.4,Yes,46.9,1316,475,48.2
115,Male,31,0,Yes,No,48,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Credit card,21.77,1044.96,No,15.8,403,252,21.77
116,Female,19,0,Yes,Yes,4,Yes,No phone service,No,No,No internet service,No internet service,No,No,Yes,One year,No,Credit card,21.99,87.96,Yes,32.7,813,395,21.99
117,Male,28,0,No,Yes,70,Yes,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card,20.9,1463,Yes,4,2902,288,20.9
118,Female,68,1,Yes,Yes,19,No,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Electronic check,92.53,1758.07,Yes,12.1,1629,211,92.53
119,Female,56,0,Yes,Yes,32,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card,50.21,1606.72,No,38.7,1026,487,50.21
120,Male,55,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card,98.28,884.52,No,26.4,2989,176,98.28
121,Female,77,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer,61.64,739.68,No,46.4,1020,20,61.64
122,Male,51,0,Yes,Yes,11,No,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Credit card,63.78,701.58,Yes,21.4,2224,315,63.78
123,Female,55,0,No,Yes,46,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,69.79,3210.34,Yes,43.5,1280,51,69.79
124,Male,67,1,No,Yes,16,No,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card,89.91,1438.56,Yes,22.4,2920,437,89.91
125,Male,51,0,No,No,1,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,45.74,45.74,Yes,49,2524,422,45.74
126,Female,35,0,Yes,Yes,63,No,No,No,No internet service,No,No,Yes,Yes,Yes,One year,No,Mailed check,30.47,1919.61,No,48,2445,232,30.47
127,Female,47,0,No,No,21,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card,74.13,1556.73,Yes,16.5,1519,432,74.13
128,Male,32,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,51.11,1533.3,Yes,44.3,219,122,51.11
129,Female,44,0,Yes,No,13,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,62.72,815.36,Yes,42.4,2004,361,62.72
130,Female,68,1,Yes,Yes,34,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,83.27,2831.18,No,10.5,172,447,83.27
131,Female,51,0,Yes,No,4,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Bank transfer,67.91,271.64,Yes,31.2,2783,99,67.91
132,Male,69,1,No,Yes,28,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,80.59,2256.52,No,3.6,1413,213,80.59
133,Male,74,1,No,Yes,59,No,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,72.94,4303.46,No,41.8,501,409,72.94
134,Male,55,0,Yes,Yes,27,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Bank transfer,92.6,2500.2,Yes,8.7,1812,326,92.6
135,Male,50,0,No,No,69,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,No,Bank transfer,89.2,6154.8,Yes,3.5,2808,134,89.2
136,Male,41,0,Yes,Yes,25,No,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,71.94,1798.5,Yes,20,2178,455,71.94
137,Male,32,0,No,No,3,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,86.48,259.44,Yes,28.8,797,317,86.48
138,Male,77,1,No,No,68,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,106.04,7210.72,No,42.7,2846,217,106.04
139,Male,47,0,Yes,Yes,25,No,Yes,DSL,No internet service,Yes,No,No,No internet service,No,One year,No,Credit card,61.69,1542.25,No,48.7,929,87,61.69
140,Male,72,1,No,Yes,20,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,59.73,1194.6,No,22,722,279,59.73
141,Female,59,0,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card,95.06,3232.04,No,3,2262,39,95.06
142,Male,68,1,No,No,26,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,No,Bank transfer,76.8,1996.8,No,37.5,1333,239,76.8
143,Female,34,0,Yes,Yes,5,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,One year,Yes,Mailed check,25.39,126.95,No,28.3,1274,331,25.39
144,Female,22,0,Yes,No,61,Yes,No,No,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,107.91,6582.51,No,22.4,487,430,107.91
145,Female,46,0,No,No,9,No,No,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,21.34,192.06,No,15.5,1957,135,21.34
146,Male,21,0,No,Yes,50,No,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,93.46,4673,No,25.1,1217,181,93.46
147,Male,27,0,Yes,Yes,6,No,No phone service,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,94.51,567.06,No,16.9,1464,264,94.51
148,Male,73,1,No,Yes,60,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,114.04,6842.4,Yes,37.9,312,258,114.04
149,Male,34,0,No,Yes,44,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card,23.69,1042.36,Yes,27.2,78,181,23.69
150,Female,27,0,Yes,Yes,11,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,78.23,860.53,Yes,43.8,2227,20,78.23
151,Male,34,0,Yes,Yes,66,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,No,Electronic check,61.25,4042.5,No,27.2,674,350,61.25
152,Male,77,1,No,No,47,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,51.48,2419.56,Yes,11.9,1737,431,51.48
153,Male,37,0,Yes,No,3,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,Yes,Electronic check,27.33,81.99,No,42.6,13,430,27.33
154,Male,41,0,Yes,No,30,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer,74.8,2244,No,27.9,2906,471,74.8
155,Male,22,0,Yes,Yes,21,No,No,No,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,66.39,1394.19,Yes,10.3,2293,195,66.39
